PostID,PostType,Likes,Shares,Comments,ViewCount,EngagementRate,EngagementSummary
id_23,Carousel,369,84,1,3887,0.117,"Carousel post with 369 likes, 84 shares, 1 comments, and an engagement rate of 0.117"
id_24,Reel,188,90,46,3761,0.086,"Reel post with 188 likes, 90 shares, 46 comments, and an engagement rate of 0.086"
id_25,Carousel,382,88,10,4867,0.099,"Carousel post with 382 likes, 88 shares, 10 comments, and an engagement rate of 0.099"
id_26,Carousel,226,72,44,4459,0.077,"Carousel post with 226 likes, 72 shares, 44 comments, and an engagement rate of 0.077"
id_27,Reel,423,76,26,4325,0.121,"Reel post with 423 likes, 76 shares, 26 comments, and an engagement rate of 0.121"
id_28,Carousel,337,25,4,3150,0.116,"Carousel post with 337 likes, 25 shares, 4 comments, and an engagement rate of 0.116"
id_29,Reel,157,31,19,4246,0.049,"Reel post with 157 likes, 31 shares, 19 comments, and an engagement rate of 0.049"
id_30,Carousel,370,33,14,3699,0.113,"Carousel post with 370 likes, 33 shares, 14 comments, and an engagement rate of 0.113"
id_31,Reel,419,37,3,3789,0.121,"Reel post with 419 likes, 37 shares, 3 comments, and an engagement rate of 0.121"
id_32,Carousel,75,62,14,4931,0.031,"Carousel post with 75 likes, 62 shares, 14 comments, and an engagement rate of 0.031"
id_33,Static Image,120,62,13,1362,0.143,"Static Image post with 120 likes, 62 shares, 13 comments, and an engagement rate of 0.143"
id_34,Carousel,312,22,38,1939,0.192,"Carousel post with 312 likes, 22 shares, 38 comments, and an engagement rate of 0.192"
id_35,Carousel,374,28,14,1150,0.362,"Carousel post with 374 likes, 28 shares, 14 comments, and an engagement rate of 0.362"
id_36,Reel,318,52,29,2798,0.143,"Reel post with 318 likes, 52 shares, 29 comments, and an engagement rate of 0.143"
id_37,Reel,312,51,6,1410,0.262,"Reel post with 312 likes, 51 shares, 6 comments, and an engagement rate of 0.262"
id_38,Carousel,228,94,45,4865,0.075,"Carousel post with 228 likes, 94 shares, 45 comments, and an engagement rate of 0.075"
id_39,Static Image,251,10,26,3463,0.083,"Static Image post with 251 likes, 10 shares, 26 comments, and an engagement rate of 0.083"
id_40,Carousel,205,91,34,4557,0.072,"Carousel post with 205 likes, 91 shares, 34 comments, and an engagement rate of 0.072"
id_41,Reel,191,83,16,3587,0.081,"Reel post with 191 likes, 83 shares, 16 comments, and an engagement rate of 0.081"
id_42,Reel,328,94,2,2038,0.208,"Reel post with 328 likes, 94 shares, 2 comments, and an engagement rate of 0.208"
id_43,Carousel,196,89,13,547,0.545,"Carousel post with 196 likes, 89 shares, 13 comments, and an engagement rate of 0.545"
id_44,Carousel,478,79,1,1566,0.356,"Carousel post with 478 likes, 79 shares, 1 comments, and an engagement rate of 0.356"
id_45,Static Image,113,77,35,3327,0.068,"Static Image post with 113 likes, 77 shares, 35 comments, and an engagement rate of 0.068"
id_46,Reel,442,67,5,4341,0.118,"Reel post with 442 likes, 67 shares, 5 comments, and an engagement rate of 0.118"
id_47,Reel,460,6,5,4007,0.118,"Reel post with 460 likes, 6 shares, 5 comments, and an engagement rate of 0.118"
id_48,Static Image,202,53,2,1533,0.168,"Static Image post with 202 likes, 53 shares, 2 comments, and an engagement rate of 0.168"
id_49,Reel,234,64,30,1123,0.292,"Reel post with 234 likes, 64 shares, 30 comments, and an engagement rate of 0.292"
id_50,Static Image,50,55,22,832,0.153,"Static Image post with 50 likes, 55 shares, 22 comments, and an engagement rate of 0.153"
id_51,Carousel,326,77,26,874,0.491,"Carousel post with 326 likes, 77 shares, 26 comments, and an engagement rate of 0.491"
id_52,Static Image,149,93,3,642,0.382,"Static Image post with 149 likes, 93 shares, 3 comments, and an engagement rate of 0.382"
id_53,Static Image,110,44,31,3776,0.049,"Static Image post with 110 likes, 44 shares, 31 comments, and an engagement rate of 0.049"
id_54,Static Image,303,30,38,1862,0.199,"Static Image post with 303 likes, 30 shares, 38 comments, and an engagement rate of 0.199"
id_55,Reel,480,16,16,3370,0.152,"Reel post with 480 likes, 16 shares, 16 comments, and an engagement rate of 0.152"
id_56,Static Image,258,96,5,707,0.508,"Static Image post with 258 likes, 96 shares, 5 comments, and an engagement rate of 0.508"
id_57,Static Image,407,50,45,1850,0.271,"Static Image post with 407 likes, 50 shares, 45 comments, and an engagement rate of 0.271"
id_58,Reel,443,39,48,2524,0.210,"Reel post with 443 likes, 39 shares, 48 comments, and an engagement rate of 0.210"
id_59,Reel,495,58,5,4641,0.120,"Reel post with 495 likes, 58 shares, 5 comments, and an engagement rate of 0.120"
id_60,Reel,275,36,22,3955,0.084,"Reel post with 275 likes, 36 shares, 22 comments, and an engagement rate of 0.084"
id_61,Static Image,322,61,20,4183,0.096,"Static Image post with 322 likes, 61 shares, 20 comments, and an engagement rate of 0.096"
id_62,Carousel,323,29,36,2873,0.135,"Carousel post with 323 likes, 29 shares, 36 comments, and an engagement rate of 0.135"
id_63,Carousel,481,46,6,3969,0.134,"Carousel post with 481 likes, 46 shares, 6 comments, and an engagement rate of 0.134"
id_64,Static Image,160,64,23,1826,0.135,"Static Image post with 160 likes, 64 shares, 23 comments, and an engagement rate of 0.135"
id_65,Reel,191,40,8,3024,0.079,"Reel post with 191 likes, 40 shares, 8 comments, and an engagement rate of 0.079"
id_66,Reel,214,67,49,2329,0.142,"Reel post with 214 likes, 67 shares, 49 comments, and an engagement rate of 0.142"
id_67,Carousel,335,60,21,2472,0.168,"Carousel post with 335 likes, 60 shares, 21 comments, and an engagement rate of 0.168"
id_68,Carousel,171,65,50,1065,0.269,"Carousel post with 171 likes, 65 shares, 50 comments, and an engagement rate of 0.269"
id_69,Reel,359,82,15,1019,0.447,"Reel post with 359 likes, 82 shares, 15 comments, and an engagement rate of 0.447"
id_70,Carousel,332,73,46,3094,0.146,"Carousel post with 332 likes, 73 shares, 46 comments, and an engagement rate of 0.146"
id_71,Static Image,237,41,39,4178,0.076,"Static Image post with 237 likes, 41 shares, 39 comments, and an engagement rate of 0.076"
id_72,Carousel,443,10,8,2820,0.163,"Carousel post with 443 likes, 10 shares, 8 comments, and an engagement rate of 0.163"
id_73,Reel,232,14,27,2353,0.116,"Reel post with 232 likes, 14 shares, 27 comments, and an engagement rate of 0.116"
id_74,Reel,125,89,46,4433,0.059,"Reel post with 125 likes, 89 shares, 46 comments, and an engagement rate of 0.059"
id_75,Carousel,348,99,3,4719,0.095,"Carousel post with 348 likes, 99 shares, 3 comments, and an engagement rate of 0.095"
id_76,Reel,233,16,45,4410,0.067,"Reel post with 233 likes, 16 shares, 45 comments, and an engagement rate of 0.067"
id_77,Carousel,336,24,31,620,0.631,"Carousel post with 336 likes, 24 shares, 31 comments, and an engagement rate of 0.631"
id_78,Static Image,484,36,35,4482,0.124,"Static Image post with 484 likes, 36 shares, 35 comments, and an engagement rate of 0.124"
id_79,Static Image,299,71,11,4289,0.089,"Static Image post with 299 likes, 71 shares, 11 comments, and an engagement rate of 0.089"
id_80,Static Image,305,6,6,3637,0.087,"Static Image post with 305 likes, 6 shares, 6 comments, and an engagement rate of 0.087"
id_81,Static Image,142,99,33,3771,0.073,"Static Image post with 142 likes, 99 shares, 33 comments, and an engagement rate of 0.073"
id_82,Reel,212,84,42,3789,0.089,"Reel post with 212 likes, 84 shares, 42 comments, and an engagement rate of 0.089"
id_83,Reel,391,54,9,2372,0.191,"Reel post with 391 likes, 54 shares, 9 comments, and an engagement rate of 0.191"
id_84,Static Image,269,85,46,1831,0.218,"Static Image post with 269 likes, 85 shares, 46 comments, and an engagement rate of 0.218"
id_85,Static Image,423,31,26,3457,0.139,"Static Image post with 423 likes, 31 shares, 26 comments, and an engagement rate of 0.139"
id_86,Carousel,463,91,11,1022,0.553,"Carousel post with 463 likes, 91 shares, 11 comments, and an engagement rate of 0.553"
id_87,Carousel,209,26,17,2391,0.105,"Carousel post with 209 likes, 26 shares, 17 comments, and an engagement rate of 0.105"
id_88,Carousel,181,60,18,851,0.304,"Carousel post with 181 likes, 60 shares, 18 comments, and an engagement rate of 0.304"
id_89,Static Image,327,33,38,1093,0.364,"Static Image post with 327 likes, 33 shares, 38 comments, and an engagement rate of 0.364"
id_90,Carousel,424,60,48,3569,0.149,"Carousel post with 424 likes, 60 shares, 48 comments, and an engagement rate of 0.149"
id_91,Carousel,314,88,23,2494,0.170,"Carousel post with 314 likes, 88 shares, 23 comments, and an engagement rate of 0.170"
id_92,Carousel,99,44,5,2422,0.061,"Carousel post with 99 likes, 44 shares, 5 comments, and an engagement rate of 0.061"
id_93,Reel,238,42,26,2529,0.121,"Reel post with 238 likes, 42 shares, 26 comments, and an engagement rate of 0.121"
id_94,Carousel,360,36,37,3076,0.141,"Carousel post with 360 likes, 36 shares, 37 comments, and an engagement rate of 0.141"
id_95,Static Image,494,40,34,2137,0.266,"Static Image post with 494 likes, 40 shares, 34 comments, and an engagement rate of 0.266"
id_96,Carousel,53,76,31,3628,0.044,"Carousel post with 53 likes, 76 shares, 31 comments, and an engagement rate of 0.044"
id_97,Carousel,251,85,43,1519,0.250,"Carousel post with 251 likes, 85 shares, 43 comments, and an engagement rate of 0.250"
id_98,Reel,438,81,8,2810,0.188,"Reel post with 438 likes, 81 shares, 8 comments, and an engagement rate of 0.188"
id_99,Static Image,110,37,46,3652,0.053,"Static Image post with 110 likes, 37 shares, 46 comments, and an engagement rate of 0.053"
id_100,Static Image,326,99,6,3607,0.119,"Static Image post with 326 likes, 99 shares, 6 comments, and an engagement rate of 0.119"
